policy,policy_label,n_episodes,train_fidelity_q25_mean,heldout_fidelity_q25_mean,fidelity_generalization_gap_mean,fidelity_generalization_gap_median,fidelity_gap_ci95_low,fidelity_gap_ci95_high,train_survival_q25_mean,heldout_survival_q25_mean,survival_generalization_gap_mean,survival_generalization_gap_median,survival_gap_ci95_low,survival_gap_ci95_high,absolute_gap_ratio_survival_to_fidelity,share_of_two_absolute_gaps_carried_by_survival,evidence_status
random,Random,12,0.8579947187986415,0.8573518642514654,0.000642854547176284,0.0006616771113510667,0.00023630357116544016,0.0010826622908190835,0.9395072101275449,0.8278240543221936,0.1116831558053513,0.11205439167325337,0.10540047655539175,0.1160612280110303,173.73005494931263,0.9942768861356445,post-hoc diagnostic from frozen V1 outputs
greedy,Greedy,12,0.8676727850151611,0.8673020015894126,0.00037078342574836665,0.0002874988911222842,0.00024109779467816617,0.0005171206668621197,0.9424253707439311,0.836022392269124,0.1064029784748071,0.11181386219159745,0.0964442995700557,0.11458918119875071,286.9680009564878,0.9965273919439712,post-hoc diagnostic from frozen V1 outputs
bads,BADS,12,0.7979857521292039,0.7971454686693026,0.0008402834599011746,0.0005836827161591618,0.0004220842664001012,0.0013826405025852053,0.9384504897860119,0.8254637606338182,0.11298672915219365,0.11430352686795076,0.10758569920934404,0.11673643793944628,134.46263617456182,0.9926178905989149,post-hoc diagnostic from frozen V1 outputs
