episode_seed,policy,selected_candidate_id,query_budget,unique_queries,search_auc,depth,component_count,train_fidelity_q25,train_success_q25,train_robust_utility,train_objective_loss,heldout_fidelity_q25,heldout_success_q25,heldout_robust_utility,heldout_objective_loss,fidelity_generalization_gap,success_generalization_gap
17,random,54644c381d3ec6bb,48,48,0.6270218037517042,5,24,0.8059534859344818,0.9340760588020454,0.8012803262112704,0.19871967378872957,0.8049017891061183,0.8228816717674132,0.7782526761830714,0.22174732381692863,0.0010516968283634798,0.11119438703463214
17,greedy,3ce3e8a2352f0572,48,48,0.8290851814595749,5,25,0.9131787665560848,0.9340764812991922,0.8800327045102354,0.11996729548976459,0.9124372880819327,0.822795251983605,0.8572203497915039,0.14277965020849614,0.0007414784741520686,0.11128122931558715
17,bads,1fa8a62d7676695c,48,48,0.6812800788050374,5,23,0.9065623159284616,0.9340756324501345,0.8784035301030397,0.12159646989696027,0.9057514956679347,0.822795410780108,0.8555393705736394,0.14446062942636062,0.0008108202605269232,0.11128022167002649
29,random,a2feb0cc95118ad0,48,48,0.7982470875686295,5,23,0.8966982030312163,0.9356954307834255,0.8713294050967639,0.12867059490323607,0.8957320067039929,0.8152583787528144,0.8465173474452243,0.15348265255477567,0.0009661963272233898,0.12043705203061117
29,greedy,b4896878cb6e44c1,48,48,0.8675710430380782,5,24,0.9605238770541289,0.9356931568058866,0.917531539151774,0.08246846084822601,0.9604329100057385,0.8152021675864163,0.8933651160215872,0.10663488397841281,9.096704839040015e-05,0.12049098921947032
29,bads,b4896878cb6e44c1,48,48,0.8081495914743032,5,24,0.9605238770541289,0.9356931568058866,0.917531539151774,0.08246846084822601,0.9604329100057385,0.8152021675864163,0.8933651160215872,0.10663488397841281,9.096704839040015e-05,0.12049098921947032
41,random,3756513f7a64990e,48,48,0.6812275411930259,5,23,0.9693389672299939,0.9368889146197695,0.926048675013116,0.07395132498688395,0.9692323160316059,0.8189548623437277,0.9023818761591166,0.09761812384088342,0.00010665119838804138,0.11793405227604181
41,greedy,71b70304da08d585,48,48,0.8953294811225591,5,23,0.9999939761548181,0.9368888833384194,0.9490399254504641,0.05096007454953588,0.9997891456072103,0.8189530329500934,0.925299132462093,0.07470086753790695,0.00020483054760778163,0.11793585038832599
41,bads,4392b1f69b60f04c,48,48,0.5538971722774503,5,22,0.6905565654679996,0.9368900246491929,0.7186287623641716,0.2813712376358284,0.6890421359508297,0.8189611628141479,0.6939071678592852,0.3060928321407148,0.0015144295171698463,0.11792886183504503
53,random,e036b65171cb2512,48,48,0.6248416282703261,5,24,0.6971436618027393,0.9373710060921375,0.720331947570482,0.279668052429518,0.6980779555343762,0.8273988821897326,0.6990382430887288,0.30096175691127125,-0.0009342937316368927,0.10997212390240496
53,greedy,dc7580c7f84b09bb,48,48,0.5182049236446026,4,20,0.5564654052580933,0.9480592098685082,0.6236275625839384,0.37637243741606163,0.5560411021153936,0.8600822074921344,0.6057139347516388,0.3942860652483612,0.00042430314269970015,0.08797700237637385
53,bads,025471ed8a10e8d9,48,48,0.46573052781823376,4,19,0.4633382931592517,0.9480593525011152,0.5554489237029951,0.44455107629700485,0.4620348774433819,0.8600949055220012,0.53687847252027,0.46312152747973,0.0013034157158697823,0.08796444697911399
67,random,c6c91c64dae3d471,48,48,0.7639969740062661,5,23,0.7685085044090137,0.9381318039192099,0.775674405757269,0.22432559424273102,0.7660796817390748,0.8203927761542278,0.7503049832018184,0.24969501679818162,0.002428822669938935,0.11773902776498213
67,greedy,16e6627f18d63644,48,48,0.8484611312909429,5,23,0.8995031958604193,0.9381336548313135,0.8739207945282439,0.1260792054717561,0.898900579601594,0.8203304244660886,0.8499081862610799,0.1500918137389201,0.0006026162588252948,0.11780323036522489
67,bads,16e6627f18d63644,48,48,0.7825991855846918,5,23,0.8995031958604193,0.9381336548313135,0.8739207945282439,0.1260792054717561,0.898900579601594,0.8203304244660886,0.8499081862610799,0.1500918137389201,0.0006026162588252948,0.11780323036522489
79,random,1bca3fe6d8a6100d,48,48,0.8843747017391196,5,23,0.9131730664120583,0.9391411763170466,0.8843747017391197,0.1156252982608803,0.9125451458260253,0.8267467399924566,0.861424874034677,0.13857512596532295,0.0006279205860330039,0.11239443632459001
79,greedy,8fe61a4c714f364e,48,48,0.9216735137025767,5,23,0.9713958458804952,0.9391402623647899,0.9280416035499961,0.0719583964500039,0.9712905248866237,0.8267937672971821,0.9054933137910709,0.0945066862089291,0.00010532099387150495,0.11234649506760774
79,bads,8fe61a4c714f364e,48,48,0.9107567882498575,5,23,0.9713958458804952,0.9391402623647899,0.9280416035499961,0.0719583964500039,0.9712905248866237,0.8267937672971821,0.9054933137910709,0.0945066862089291,0.00010532099387150495,0.11234649506760774
97,random,c2f72628d0df6e00,48,48,0.5489896387933647,3,16,0.576671762834393,0.9640518962351778,0.6486475347061637,0.35135246529383635,0.5757636215221409,0.882525579027795,0.631661165280498,0.368338834719502,0.000908141312252142,0.08152631720738279
97,greedy,c2f72628d0df6e00,48,48,0.5678848427774038,3,16,0.576671762834393,0.9640518962351778,0.6486475347061637,0.35135246529383635,0.5757636215221409,0.882525579027795,0.631661165280498,0.368338834719502,0.000908141312252142,0.08152631720738279
97,bads,b28d5f67a3a5895b,48,48,0.45821591051561184,5,25,0.4822069865039934,0.9406883304803729,0.558126239307403,0.441873760692597,0.47902818068666214,0.8217581332506463,0.5319560954984592,0.46804390450154076,0.003178805817331265,0.11893019722972664
109,random,237b719474d05644,48,48,0.8780456499217438,5,23,0.9331624328989984,0.9364588978361208,0.8988302709081397,0.10116972909186028,0.9328130270728019,0.8258786935674998,0.8764521756847681,0.12354782431523192,0.0003494058261964694,0.11058020426862103
109,greedy,237b719474d05644,48,48,0.8780456499217438,5,23,0.9331624328989984,0.9364588978361208,0.8988302709081397,0.10116972909186028,0.9328130270728019,0.8258786935674998,0.8764521756847681,0.12354782431523192,0.0003494058261964694,0.11058020426862103
109,bads,237b719474d05644,48,48,0.8780456499217438,5,23,0.9331624328989984,0.9364588978361208,0.8988302709081397,0.10116972909186028,0.9328130270728019,0.8258786935674998,0.8764521756847681,0.12354782431523192,0.0003494058261964694,0.11058020426862103
127,random,98f7bf5a6a0cd0c5,48,48,0.7868756896941232,5,23,0.8900730024025154,0.9352368966929839,0.86626879780715,0.13373120219284995,0.8893584630116167,0.8160295190264757,0.8418914177306744,0.15810858226932556,0.0007145393908987163,0.11920737766650824
127,greedy,df22f66e55b3b0fd,48,48,0.90561697995493,5,23,0.9999884696320908,0.9352368898595725,0.9487053968626493,0.05129460313735068,0.9997679868124857,0.8160351745323283,0.9246996916824967,0.07530030831750334,0.00022048281960507232,0.11920171532724422
127,bads,df22f66e55b3b0fd,48,48,0.7914641483287665,5,23,0.9999884696320908,0.9352368898595725,0.9487053968626493,0.05129460313735068,0.9997679868124857,0.8160351745323283,0.9246996916824967,0.07530030831750334,0.00022048281960507232,0.11920171532724422
149,random,bdf3901e80327f82,48,48,0.7539345032512776,5,23,0.965855273070891,0.939663288585475,0.92399077918693,0.07600922081307004,0.9653244825693814,0.8279489415635582,0.9012498169064144,0.09875018309358563,0.0005307905015096148,0.11171434702191674
