policy,metric,n_episodes,mean,median,standard_deviation,q25,q75,mean_ci95_low,mean_ci95_high
random,search_auc,12,0.758005185693338,0.7754363318501947,0.1146311914438982,0.6676761068326955,0.8684886043439297,0.6940454561045687,0.8173169121445758
random,train_fidelity_q25,12,0.8579947187986416,0.8933856027168658,0.12404451288432862,0.7965922405531147,0.9413356429419715,0.7885278951298259,0.9205087751677884
random,train_success_q25,12,0.9395072101275449,0.9377514050056737,0.007913598716728637,0.936268031072947,0.9389293099131233,0.9365847581756134,0.9442842511200605
random,train_robust_utility,12,0.8436197033467124,0.8687991014519569,0.089893832263174,0.79487884609777,0.9051203979778373,0.7916911425667204,0.8886866441940874
random,train_objective_loss,12,0.15638029665328765,0.131200898548043,0.089893832263174,0.09487960202216272,0.20512115390222993,0.11146885970752612,0.20745596274238143
random,heldout_fidelity_q25,12,0.8573518642514651,0.8925452348578048,0.12414164917775668,0.7951962622643575,0.9409408909469468,0.7850190552239753,0.9183612218459533
random,heldout_success_q25,12,0.8278240543221935,0.8243801826674565,0.01779495358089417,0.8200332977016027,0.8274415216966191,0.820970415517295,0.8387990330049441
random,heldout_robust_utility,12,0.8208009312752598,0.8445204225950701,0.08855592057832062,0.7712657529377581,0.8826515859901797,0.7688363274584803,0.8656579336718602
random,heldout_objective_loss,12,0.17919906872474003,0.1554795774049299,0.08855592057832064,0.11734841400982035,0.22873424706224188,0.1350546007669197,0.23041662729668586
random,fidelity_generalization_gap,12,0.000642854547176284,0.0006616771113510667,0.0007718497995400952,0.0003292918747171969,0.000922655065994954,0.00023630357116544016,0.0010826622908190835
random,success_generalization_gap,12,0.1116831558053513,0.11205439167325337,0.01019785117353247,0.11104084134312936,0.11778778389274705,0.10540047655539175,0.1160612280110303
random,depth,12,4.833333333333333,5.0,0.5773502691896257,5.0,5.0,4.5,5.0
random,component_count,12,22.666666666666668,23.0,2.146173479954639,23.0,23.25,21.333333333333332,23.5
greedy,search_auc,12,0.8025864579010227,0.872808346479911,0.1504492029146281,0.7694909599664199,0.8979013558306518,0.7168052959064569,0.8760932922409032
greedy,train_fidelity_q25,12,0.8676727850151611,0.9468431549765637,0.17349167172975238,0.8309132238554704,0.9873764423327827,0.7679190018363785,0.9552066799535758
greedy,train_success_q25,12,0.9424253707439311,0.938323059349989,0.010680760403150092,0.9362674625785623,0.9413699992407194,0.9372334251488559,0.948654277709778
greedy,train_robust_utility,12,0.8529896629101573,0.9081809050299569,0.1238680116951804,0.8271046830891988,0.9399533685839191,0.780557304825639,0.9146040044504415
greedy,train_objective_loss,12,0.14701033708984299,0.09181909497004315,0.12386801169518039,0.06004663141608091,0.17289531691080112,0.08622709811237458,0.21821015785482306
greedy,heldout_fidelity_q25,12,0.8673020015894126,0.9466229685392702,0.173627712198534,0.8303847497208602,0.9871390621503612,0.7678488141902977,0.9552481896406599
greedy,heldout_success_q25,12,0.836022392269124,0.8243369727755524,0.027088816799646944,0.8199860765870898,0.8357036713683691,0.8226279306849597,0.8517720231258268
greedy,heldout_robust_utility,12,0.8314309796458842,0.8849086458531776,0.12091601017491808,0.8055277133806862,0.9172727455416719,0.7615022466547531,0.8928105519940336
greedy,heldout_objective_loss,12,0.1685690203541157,0.11509135414682237,0.12091601017491806,0.0827272544583281,0.19447228661931387,0.10985050818606808,0.23873793514502084
greedy,fidelity_generalization_gap,12,0.00037078342574836665,0.0002874988911222842,0.0002553802640179532,0.00021656975160574965,0.0004688814217310988,0.00024109779467816617,0.0005171206668621197
greedy,success_generalization_gap,12,0.10640297847480708,0.11181386219159745,0.01676200970811161,0.10492940379555923,0.11783638537100016,0.0964442995700557,0.11458918119875071
greedy,depth,12,4.583333333333333,5.0,0.7929614610987591,4.75,5.0,4.083333333333333,5.0
greedy,component_count,12,21.75,23.0,3.1370223287233854,22.25,23.0,19.916666666666668,23.25
bads,search_auc,12,0.7061800719481569,0.7430051524613649,0.16800430182413062,0.5480451460702099,0.8256236060861634,0.6155409564324544,0.7959471605684059
bads,train_fidelity_q25,12,0.7979857521292039,0.9030327558944404,0.2034655128708848,0.6609063297296374,0.9632418692607205,0.6820331438685371,0.901462119241443
bads,train_success_q25,12,0.9384504897860119,0.9383225806099469,0.003605777313363126,0.9362674625785623,0.9392701607994715,0.9367465279667795,0.9405777276460291
bads,train_robust_utility,12,0.7978460787207718,0.8761621623156418,0.15162036065100495,0.6956962437997828,0.9201590552513295,0.7130738270274025,0.8752764150407238
bads,train_objective_loss,12,0.20215392127922804,0.12383783768435819,0.15162036065100495,0.07984094474867048,0.3043037562002172,0.12630082314776603,0.2870746012077197
bads,heldout_fidelity_q25,12,0.7971454686693026,0.9023260376347644,0.2041755585164607,0.6594916247956601,0.9631473137259599,0.6826895819752927,0.9011230823281013
bads,heldout_success_q25,12,0.8254637606338182,0.8225231792501972,0.011699276878781383,0.8199881090531034,0.8269896986379984,0.82051739891979,0.8327835983322184
bads,heldout_robust_utility,12,0.7746185202954073,0.8527237784173596,0.15147935700318088,0.6713572353893007,0.8963971654639581,0.6902107206539082,0.8530651649341722
bads,heldout_objective_loss,12,0.22538147970459266,0.14727622158264037,0.15147935700318088,0.10360283453604188,0.32864276461069936,0.1481201206759472,0.31132013247539947
bads,fidelity_generalization_gap,12,0.0008402834599011746,0.0005836827161591618,0.0008764461388430866,0.00022526338225281606,0.001162502317266778,0.0004220842664001012,0.0013826405025852053
bads,success_generalization_gap,12,0.11298672915219365,0.11430352686795076,0.00867712447395322,0.11128067079333195,0.11817919568371543,0.10758569920934404,0.11673643793944628
bads,depth,12,4.916666666666667,5.0,0.2886751345948129,5.0,5.0,4.75,5.0
bads,component_count,12,23.0,23.0,1.4770978917519928,23.0,24.0,22.166666666666668,23.666666666666668
