episode_seed,policy,step,best_utility_so_far
17,greedy,33,0.8800327045102354
17,greedy,34,0.8800327045102354
17,greedy,35,0.8800327045102354
17,greedy,36,0.8800327045102354
17,greedy,37,0.8800327045102354
17,greedy,38,0.8800327045102354
17,greedy,39,0.8800327045102354
17,greedy,40,0.8800327045102354
17,greedy,41,0.8800327045102354
17,greedy,42,0.8800327045102354
17,greedy,43,0.8800327045102354
17,greedy,44,0.8800327045102354
17,greedy,45,0.8800327045102354
17,greedy,46,0.8800327045102354
17,greedy,47,0.8800327045102354
17,bads,0,0.3238708597617308
17,bads,1,0.3238708597617308
17,bads,2,0.3238708597617308
17,bads,3,0.6322027486817445
17,bads,4,0.6322027486817445
17,bads,5,0.6322027486817445
17,bads,6,0.6322027486817445
17,bads,7,0.6322027486817445
17,bads,8,0.6322027486817445
17,bads,9,0.6322027486817445
17,bads,10,0.6322027486817445
17,bads,11,0.6322027486817445
17,bads,12,0.6322027486817445
17,bads,13,0.6322027486817445
17,bads,14,0.6322027486817445
17,bads,15,0.6322027486817445
17,bads,16,0.6322027486817445
17,bads,17,0.6322027486817445
17,bads,18,0.6322027486817445
17,bads,19,0.6322027486817445
17,bads,20,0.6322027486817445
17,bads,21,0.6322027486817445
17,bads,22,0.6322027486817445
17,bads,23,0.6322027486817445
17,bads,24,0.6322027486817445
17,bads,25,0.6322027486817445
17,bads,26,0.6322027486817445
17,bads,27,0.6322027486817445
17,bads,28,0.6322027486817445
17,bads,29,0.6322027486817445
17,bads,30,0.6322027486817445
17,bads,31,0.6322027486817445
17,bads,32,0.6322027486817445
17,bads,33,0.6322027486817445
17,bads,34,0.7960337737692722
17,bads,35,0.864447918288662
17,bads,36,0.864447918288662
17,bads,37,0.864447918288662
17,bads,38,0.864447918288662
17,bads,39,0.864447918288662
17,bads,40,0.864447918288662
17,bads,41,0.8784035301030397
17,bads,42,0.8784035301030397
17,bads,43,0.8784035301030397
17,bads,44,0.8784035301030397
17,bads,45,0.8784035301030397
17,bads,46,0.8784035301030397
17,bads,47,0.8784035301030397
29,random,0,0.22409766291572372
29,random,1,0.3413841551753697
29,random,2,0.3413841551753697
29,random,3,0.7950093281356045
29,random,4,0.7950093281356045
29,random,5,0.7950093281356045
29,random,6,0.7950093281356045
29,random,7,0.7950093281356045
29,random,8,0.7950093281356045
29,random,9,0.7950093281356045
29,random,10,0.7950093281356045
29,random,11,0.7950093281356045
29,random,12,0.7950093281356045
29,random,13,0.7950093281356045
29,random,14,0.7950093281356045
29,random,15,0.7950093281356045
29,random,16,0.7950093281356045
29,random,17,0.7950093281356045
29,random,18,0.7950093281356045
29,random,19,0.7950093281356045
29,random,20,0.7950093281356045
29,random,21,0.7950093281356045
29,random,22,0.7950093281356045
29,random,23,0.7950093281356045
29,random,24,0.7950093281356045
