episode_seed,policy,candidate_id,selected_for_primary,pareto_archive_member,split,pattern_index,mean_loss_rate,fidelity,success_probability
17,random,54644c381d3ec6bb,True,True,train,0.0,0.013765657552068405,0.8063395390908736,0.9330339141251909
17,random,54644c381d3ec6bb,True,True,train,1.0,0.011654108162634146,0.8058978583713297,0.9430485448974532
17,random,54644c381d3ec6bb,True,True,train,2.0,0.013247718061573882,0.8056360283615164,0.9354779586989899
17,random,54644c381d3ec6bb,True,True,train,3.0,0.011360190283006347,0.8060256999856454,0.9444491522316536
17,random,54644c381d3ec6bb,True,True,train,4.0,0.01352008446002285,0.8061485916542356,0.9341839899715803
17,random,54644c381d3ec6bb,True,True,train,5.0,0.011538991081897829,0.8059073418178136,0.9436137991204574
17,random,54644c381d3ec6bb,True,True,train,6.0,0.013611333162983097,0.806033497221926,0.9337522652934406
17,random,54644c381d3ec6bb,True,True,train,7.0,0.01335918881362427,0.8060897160397946,0.9349425029387153
17,random,54644c381d3ec6bb,True,True,train,8.0,0.012676768602899647,0.8060562355574288,0.9381984575344254
17,random,54644c381d3ec6bb,True,True,train,9.0,0.01212950854037843,0.8059940167309111,0.9407937167672251
17,random,54644c381d3ec6bb,True,True,train,10.0,0.01365909669979932,0.8057427912261462,0.9335497832185629
17,random,54644c381d3ec6bb,True,True,train,11.0,0.01167881514377932,0.8059688673067045,0.9429332855592667
17,random,54644c381d3ec6bb,True,True,train,12.0,0.014345619202920903,0.806252207629734,0.9302933552492512
17,random,54644c381d3ec6bb,True,True,train,13.0,0.011991172123990871,0.8061852604507448,0.9414632703648682
17,random,54644c381d3ec6bb,True,True,train,14.0,0.010844302959659472,0.8060124572761826,0.9469538033694588
17,random,54644c381d3ec6bb,True,True,train,15.0,0.01241069713486018,0.8060654576667751,0.9394592227168429
17,random,54644c381d3ec6bb,True,True,heldout,0.0,0.027099087774425996,0.8037772311177048,0.871983902783589
17,random,54644c381d3ec6bb,True,True,heldout,1.0,0.03634077362456507,0.8054443285765344,0.8308669395732943
17,random,54644c381d3ec6bb,True,True,heldout,2.0,0.036384677198726845,0.8060793812206198,0.8308088288077525
17,random,54644c381d3ec6bb,True,True,heldout,3.0,0.0287384129098885,0.804228709065621,0.8644798617170599
17,random,54644c381d3ec6bb,True,True,heldout,4.0,0.03337594115557828,0.8059624249254966,0.8437817949880079
17,random,54644c381d3ec6bb,True,True,heldout,5.0,0.030334112603316386,0.8051281176350013,0.8576478606558349
17,random,54644c381d3ec6bb,True,True,heldout,6.0,0.037490714880936235,0.8048096042679351,0.8259886636591884
17,random,54644c381d3ec6bb,True,True,heldout,7.0,0.03901976257793236,0.8053029439367874,0.8193463828677383
17,random,54644c381d3ec6bb,True,True,heldout,8.0,0.037960608495748185,0.8051315324644238,0.8242073642084093
17,random,54644c381d3ec6bb,True,True,heldout,9.0,0.04032457877921851,0.8051471732326563,0.8138724765057941
17,random,54644c381d3ec6bb,True,True,heldout,10.0,0.03933060565485434,0.8053932283695876,0.8183546701679908
17,random,54644c381d3ec6bb,True,True,heldout,11.0,0.032224814599543614,0.8055936239065307,0.8488922425208398
17,random,54644c381d3ec6bb,True,True,heldout,12.0,0.03757896840613017,0.8052650268430716,0.8256654987706491
