episode_seed,policy,step,candidate_id,split,pattern_index,mean_loss_rate,fidelity,success_probability
17,random,0,6de351822f69a5db,train,0.0,0.013765657552068405,0.17029442518002585,0.9330352969634174
17,random,0,6de351822f69a5db,train,1.0,0.011654108162634146,0.169414385184981,0.9430495158514194
17,random,0,6de351822f69a5db,train,2.0,0.013247718061573882,0.16934958703048855,0.9354745264829003
17,random,0,6de351822f69a5db,train,3.0,0.011360190283006347,0.16988484308410678,0.9444508291375702
17,random,0,6de351822f69a5db,train,4.0,0.01352008446002285,0.1703687287210512,0.9341912384958175
17,random,0,6de351822f69a5db,train,5.0,0.011538991081897829,0.1693813182964177,0.9436094926802322
17,random,0,6de351822f69a5db,train,6.0,0.013611333162983097,0.17045243993225498,0.9337517028045601
17,random,0,6de351822f69a5db,train,7.0,0.01335918881362427,0.16952019126287524,0.9349426730226896
17,random,0,6de351822f69a5db,train,8.0,0.012676768602899647,0.16933439488128307,0.9381999533307428
17,random,0,6de351822f69a5db,train,9.0,0.01212950854037843,0.17016397216322818,0.9407929522733145
17,random,0,6de351822f69a5db,train,10.0,0.01365909669979932,0.17015569390608046,0.9335508782088449
17,random,0,6de351822f69a5db,train,11.0,0.01167881514377932,0.17033611198244988,0.9429327986878278
17,random,0,6de351822f69a5db,train,12.0,0.014345619202920903,0.1693475654478556,0.9302955314546199
17,random,0,6de351822f69a5db,train,13.0,0.011991172123990871,0.17069262736135724,0.9414620603288101
17,random,0,6de351822f69a5db,train,14.0,0.010844302959659472,0.1710312086182908,0.9469517750642782
17,random,0,6de351822f69a5db,train,15.0,0.01241069713486018,0.17039017147013893,0.939460317043362
17,random,1,968d6d98bd97a416,train,0.0,0.013765657552068405,0.10177500038618588,0.9330324541442017
17,random,1,968d6d98bd97a416,train,1.0,0.011654108162634146,0.1009203840099548,0.9430505366865322
17,random,1,968d6d98bd97a416,train,2.0,0.013247718061573882,0.10079573526426772,0.9354733359872613
17,random,1,968d6d98bd97a416,train,3.0,0.011360190283006347,0.10139319610543168,0.9444502657577611
17,random,1,968d6d98bd97a416,train,4.0,0.01352008446002285,0.10150694952343021,0.934188794825538
17,random,1,968d6d98bd97a416,train,5.0,0.011538991081897829,0.10164759443420211,0.9436146048627179
17,random,1,968d6d98bd97a416,train,6.0,0.013611333162983097,0.10141362140616736,0.9337534784457523
17,random,1,968d6d98bd97a416,train,7.0,0.01335918881362427,0.10116139863716078,0.9349441236736
17,random,1,968d6d98bd97a416,train,8.0,0.012676768602899647,0.10157335676383461,0.9381995185003491
17,random,1,968d6d98bd97a416,train,9.0,0.01212950854037843,0.10117862121992818,0.9407936454160664
17,random,1,968d6d98bd97a416,train,10.0,0.01365909669979932,0.10054498933569805,0.9335480996921666
17,random,1,968d6d98bd97a416,train,11.0,0.01167881514377932,0.10070952739634871,0.9429342675591337
17,random,1,968d6d98bd97a416,train,12.0,0.014345619202920903,0.10165994050664395,0.9302927795051286
17,random,1,968d6d98bd97a416,train,13.0,0.011991172123990871,0.10108877736491699,0.9414674517238766
17,random,1,968d6d98bd97a416,train,14.0,0.010844302959659472,0.10119650932624796,0.9469519023703423
17,random,1,968d6d98bd97a416,train,15.0,0.01241069713486018,0.10068444619402653,0.9394648199867411
17,random,2,ff838b0e4becbb06,train,0.0,0.013765657552068405,0.11803022175252084,0.9330373893081935
17,random,2,ff838b0e4becbb06,train,1.0,0.011654108162634146,0.11788801400266861,0.9430477816284655
17,random,2,ff838b0e4becbb06,train,2.0,0.013247718061573882,0.11811253328614721,0.9354771630727965
17,random,2,ff838b0e4becbb06,train,3.0,0.011360190283006347,0.11797935821547129,0.9444482752349637
17,random,2,ff838b0e4becbb06,train,4.0,0.01352008446002285,0.11824997585765022,0.9341832657551264
17,random,2,ff838b0e4becbb06,train,5.0,0.011538991081897829,0.11797179513896314,0.9436140663264434
17,random,2,ff838b0e4becbb06,train,6.0,0.013611333162983097,0.11824022807701019,0.9337514615612041
17,random,2,ff838b0e4becbb06,train,7.0,0.01335918881362427,0.11793324803431939,0.9349479082775369
17,random,2,ff838b0e4becbb06,train,8.0,0.012676768602899647,0.11803733021521995,0.9381994235858679
17,random,2,ff838b0e4becbb06,train,9.0,0.01212950854037843,0.11812468455312232,0.940793786851886
17,random,2,ff838b0e4becbb06,train,10.0,0.01365909669979932,0.11814300058380332,0.9335492321463066
17,random,2,ff838b0e4becbb06,train,11.0,0.01167881514377932,0.11815581666904637,0.9429317731997211
17,random,2,ff838b0e4becbb06,train,12.0,0.014345619202920903,0.11787077792196865,0.9302929228275572
17,random,2,ff838b0e4becbb06,train,13.0,0.011991172123990871,0.11825469441508094,0.9414619125971306
17,random,2,ff838b0e4becbb06,train,14.0,0.010844302959659472,0.1183525698694014,0.9469547846790829
17,random,2,ff838b0e4becbb06,train,15.0,0.01241069713486018,0.11809610449819877,0.939456015953584
17,random,3,bad7517074fe1922,train,0.0,0.013765657552068405,0.5837506606038485,0.9330358625714524
17,random,3,bad7517074fe1922,train,1.0,0.011654108162634146,0.5825954826907614,0.9430478737444057
17,random,3,bad7517074fe1922,train,2.0,0.013247718061573882,0.5822086838746051,0.9354779366620658
17,random,3,bad7517074fe1922,train,3.0,0.011360190283006347,0.5829532976884092,0.9444503031436761
17,random,3,bad7517074fe1922,train,4.0,0.01352008446002285,0.5831535232732173,0.9341844468636051
17,random,3,bad7517074fe1922,train,5.0,0.011538991081897829,0.5826410417975156,0.9436166655346521
17,random,3,bad7517074fe1922,train,6.0,0.013611333162983097,0.5830736968962388,0.9337524239614802
17,random,3,bad7517074fe1922,train,7.0,0.01335918881362427,0.5830440645875177,0.9349448356123284
17,random,3,bad7517074fe1922,train,8.0,0.012676768602899647,0.5828449684319378,0.938195781723603
17,random,3,bad7517074fe1922,train,9.0,0.01212950854037843,0.5829289364871113,0.9407934887728989
17,random,3,bad7517074fe1922,train,10.0,0.01365909669979932,0.5824732109988386,0.9335475214593358
17,random,3,bad7517074fe1922,train,11.0,0.01167881514377932,0.5827714342822441,0.9429343573814729
17,random,3,bad7517074fe1922,train,12.0,0.014345619202920903,0.5832142926354162,0.9302939020292762
17,random,3,bad7517074fe1922,train,13.0,0.011991172123990871,0.5832975472991548,0.9414667689977223
17,random,3,bad7517074fe1922,train,14.0,0.010844302959659472,0.5832381879672457,0.9469521650939574
17,random,3,bad7517074fe1922,train,15.0,0.01241069713486018,0.5828703855170032,0.9394682649420105
17,random,4,97e3fa482cea2712,train,0.0,0.015485671199049993,0.0012146878190828336,0.9542510082837949
17,random,4,97e3fa482cea2712,train,1.0,0.010842832605868399,0.0012143993982152257,0.9678049930077384
17,random,4,97e3fa482cea2712,train,2.0,0.012317936256613949,0.0012435628511728058,0.963490286046744
17,random,4,97e3fa482cea2712,train,3.0,0.0128984737408209,0.001177045608967053,0.9617931076592685
17,random,4,97e3fa482cea2712,train,4.0,0.01294971721386856,0.0012453188433569258,0.9616402760427837
17,random,4,97e3fa482cea2712,train,5.0,0.012061327618818738,0.0011942791652994583,0.9642489257218929
17,random,4,97e3fa482cea2712,train,6.0,0.012844369015872959,0.001265104603794499,0.9619563861146143
17,random,4,97e3fa482cea2712,train,7.0,0.01369664397283978,0.0011546020842855007,0.9594598858724155
17,random,4,97e3fa482cea2712,train,8.0,0.012014628129612641,0.0012390396530041852,0.9643793854366547
17,random,4,97e3fa482cea2712,train,9.0,0.012325929195472353,0.0012468438086912124,0.963476491300362
17,random,4,97e3fa482cea2712,train,10.0,0.012923052357214958,0.0012272066601767618,0.9617286502272291
17,random,4,97e3fa482cea2712,train,11.0,0.01163611946862173,0.0012053740918069797,0.9654821630338961
17,random,4,97e3fa482cea2712,train,12.0,0.015021541290551716,0.0011858697135449295,0.955608934199829
17,random,4,97e3fa482cea2712,train,13.0,0.010786093292198812,0.0012413395480727666,0.9679862456863099
17,random,4,97e3fa482cea2712,train,14.0,0.010810048258198236,0.0012649768354866323,0.9679247721642781
