seed,policy,query_number,candidate_index,observed_usable_success_q25,best_so_far_usable_success_q25
1701,catalog,1,0,0.06695278072811942,0.06695278072811942
1701,random,1,0,0.06695278072811942,0.06695278072811942
1701,random,2,23,0.05254867050122668,0.06695278072811942
1701,random,3,54,0.05749738284602428,0.06695278072811942
1701,random,4,90,0.07486021860230081,0.07486021860230081
1701,random,5,118,0.06096915441415187,0.07486021860230081
1701,random,6,58,0.06679638680366291,0.07486021860230081
1701,random,7,102,0.07116345640371552,0.07486021860230081
1701,random,8,34,0.058850739137918884,0.07486021860230081
1701,random,9,37,0.05655806387305684,0.07486021860230081
1701,random,10,109,0.0695162575603064,0.07486021860230081
1701,random,11,45,0.058678469878882374,0.07486021860230081
1701,random,12,91,0.0701531344321287,0.07486021860230081
1701,random,13,53,0.06774982688058968,0.07486021860230081
1701,random,14,66,0.06494500306804565,0.07486021860230081
1701,random,15,69,0.07029719677090683,0.07486021860230081
1701,random,16,6,0.0682134056865573,0.07486021860230081
1701,random,17,16,0.066721786974794,0.07486021860230081
1701,random,18,35,0.07365765079288647,0.07486021860230081
1701,random,19,86,0.06027724762477951,0.07486021860230081
1701,random,20,111,0.0647278693579267,0.07486021860230081
1701,random,21,3,0.05443148217144203,0.07486021860230081
1701,random,22,100,0.05619519528772276,0.07486021860230081
1701,random,23,77,0.0589017049165477,0.07486021860230081
1701,random,24,28,0.06628722126355963,0.07486021860230081
1701,random,25,31,0.0625022086412389,0.07486021860230081
1701,random,26,98,0.07606358666036811,0.07606358666036811
1701,random,27,39,0.06203619371544166,0.07606358666036811
1701,random,28,112,0.06844464127047867,0.07606358666036811
1701,random,29,113,0.06457580245847916,0.07606358666036811
1701,random,30,36,0.0725051766342231,0.07606358666036811
1701,random,31,85,0.055446761283624905,0.07606358666036811
1701,random,32,82,0.05917878408457795,0.07606358666036811
1701,greedy,1,0,0.06695278072811942,0.06695278072811942
1701,greedy,2,23,0.05254867050122668,0.06695278072811942
1701,greedy,3,54,0.05749738284602428,0.06695278072811942
1701,greedy,4,90,0.07486021860230081,0.07486021860230081
1701,greedy,5,12,0.07592245150961738,0.07592245150961738
1701,greedy,6,89,0.06690485539341301,0.07592245150961738
1701,greedy,7,4,0.07368133661552434,0.07592245150961738
1701,greedy,8,55,0.07129893507601819,0.07592245150961738
1701,greedy,9,28,0.06628722126355963,0.07592245150961738
1701,greedy,10,72,0.07506074158744705,0.07592245150961738
1701,greedy,11,69,0.07029719677090683,0.07592245150961738
1701,greedy,12,2,0.06813056649630427,0.07592245150961738
1701,greedy,13,79,0.07088005386017251,0.07592245150961738
1701,greedy,14,92,0.06734448507701206,0.07592245150961738
1701,greedy,15,67,0.06818560983304653,0.07592245150961738
1701,greedy,16,75,0.06828776408809259,0.07592245150961738
1701,greedy,17,14,0.06372485280990936,0.07592245150961738
1701,greedy,18,119,0.0760041751182131,0.0760041751182131
1701,greedy,19,98,0.07606358666036811,0.07606358666036811
1701,greedy,20,101,0.07147328841992666,0.07606358666036811
1701,greedy,21,53,0.06774982688058968,0.07606358666036811
1701,greedy,22,63,0.06284080239485432,0.07606358666036811
1701,greedy,23,112,0.06844464127047867,0.07606358666036811
1701,greedy,24,49,0.07363865581864575,0.07606358666036811
1701,greedy,25,6,0.0682134056865573,0.07606358666036811
1701,greedy,26,51,0.06709566152402881,0.07606358666036811
1701,greedy,27,68,0.06553026233695255,0.07606358666036811
1701,greedy,28,10,0.07124871348088534,0.07606358666036811
1701,greedy,29,36,0.0725051766342231,0.07606358666036811
1701,greedy,30,42,0.06566490309841343,0.07606358666036811
1701,greedy,31,117,0.07414420607969464,0.07606358666036811
1701,greedy,32,9,0.07063059393399373,0.07606358666036811
1701,bads,1,0,0.06695278072811942,0.06695278072811942
1701,bads,2,23,0.05254867050122668,0.06695278072811942
1701,bads,3,54,0.05749738284602428,0.06695278072811942
1701,bads,4,90,0.07486021860230081,0.07486021860230081
1701,bads,5,21,0.0724065323118384,0.07486021860230081
1701,bads,6,74,0.06890790860117871,0.07486021860230081
1701,bads,7,55,0.07129893507601819,0.07486021860230081
1701,bads,8,48,0.07105074718616394,0.07486021860230081
1701,bads,9,71,0.06877779928356947,0.07486021860230081
1701,bads,10,17,0.07378647085497893,0.07486021860230081
1701,bads,11,59,0.06795504722649562,0.07486021860230081
1701,bads,12,19,0.06862549187482819,0.07486021860230081
1701,bads,13,101,0.07147328841992666,0.07486021860230081
1701,bads,14,49,0.07363865581864575,0.07486021860230081
1701,bads,15,43,0.07403423273679408,0.07486021860230081
1701,bads,16,108,0.06355883690980249,0.07486021860230081
1701,bads,17,119,0.0760041751182131,0.0760041751182131
1701,bads,18,12,0.07592245150961738,0.0760041751182131
1701,bads,19,98,0.07606358666036811,0.07606358666036811
1701,bads,20,9,0.07063059393399373,0.07606358666036811
1701,bads,21,72,0.07506074158744705,0.07606358666036811
1701,bads,22,6,0.0682134056865573,0.07606358666036811
1701,bads,23,102,0.07116345640371552,0.07606358666036811
1701,bads,24,36,0.0725051766342231,0.07606358666036811
1701,bads,25,112,0.06844464127047867,0.07606358666036811
1701,bads,26,4,0.07368133661552434,0.07606358666036811
1701,bads,27,28,0.06628722126355963,0.07606358666036811
1701,bads,28,117,0.07414420607969464,0.07606358666036811
1701,bads,29,47,0.0739354912485082,0.07606358666036811
1701,bads,30,22,0.07267216533317279,0.07606358666036811
1701,bads,31,114,0.07163792403157976,0.07606358666036811
1701,bads,32,35,0.07365765079288647,0.07606358666036811
1702,catalog,1,0,0.06697040022823482,0.06697040022823482
1702,random,1,0,0.06697040022823482,0.06697040022823482
1702,random,2,46,0.057045806364988065,0.06697040022823482
1702,random,3,75,0.06594637266196691,0.06697040022823482
1702,random,4,24,0.05758230103246888,0.06697040022823482
1702,random,5,15,0.05595779686720216,0.06697040022823482
1702,random,6,82,0.07497873932187464,0.07497873932187464
1702,random,7,123,0.05431457287624254,0.07497873932187464
1702,random,8,42,0.0754997063137065,0.0754997063137065
1702,random,9,27,0.05939692125007418,0.0754997063137065
1702,random,10,26,0.06449341473992681,0.0754997063137065
1702,random,11,12,0.06804894637186483,0.0754997063137065
1702,random,12,106,0.05408666113245847,0.0754997063137065
1702,random,13,100,0.06344426382656544,0.0754997063137065
1702,random,14,59,0.06435909611913737,0.0754997063137065
1702,random,15,98,0.05931258066641727,0.0754997063137065
1702,random,16,50,0.06582777916858282,0.0754997063137065
1702,random,17,97,0.05387362426716899,0.0754997063137065
1702,random,18,121,0.06007088440102463,0.0754997063137065
1702,random,19,64,0.06425844290008383,0.0754997063137065
1702,random,20,71,0.056020702588793325,0.0754997063137065
1702,random,21,113,0.058472105983097454,0.0754997063137065
1702,random,22,44,0.05331942553065011,0.0754997063137065
1702,random,23,94,0.05427479501135869,0.0754997063137065
1702,random,24,33,0.05994178684985277,0.0754997063137065
1702,random,25,80,0.055203489709064066,0.0754997063137065
1702,random,26,99,0.07461729705025409,0.0754997063137065
1702,random,27,89,0.07141041582618107,0.0754997063137065
1702,random,28,118,0.06355333872914,0.0754997063137065
1702,random,29,3,0.06554602041505969,0.0754997063137065
1702,random,30,68,0.05726683339444989,0.0754997063137065
1702,random,31,63,0.06770090167427989,0.0754997063137065
1702,random,32,60,0.06403886664008046,0.0754997063137065
1702,greedy,1,0,0.06697040022823482,0.06697040022823482
1702,greedy,2,46,0.057045806364988065,0.06697040022823482
1702,greedy,3,75,0.06594637266196691,0.06697040022823482
1702,greedy,4,24,0.05758230103246888,0.06697040022823482
1702,greedy,5,110,0.06924580959275854,0.06924580959275854
1702,greedy,6,28,0.0725701976180155,0.0725701976180155
1702,greedy,7,95,0.0706529113672405,0.0725701976180155
1702,greedy,8,21,0.07159377668297473,0.0725701976180155
1702,greedy,9,109,0.07533251314140328,0.07533251314140328
1702,greedy,10,37,0.07318375985962884,0.07533251314140328
1702,greedy,11,42,0.0754997063137065,0.0754997063137065
1702,greedy,12,119,0.07045324126648447,0.0754997063137065
1702,greedy,13,8,0.07286835213031981,0.0754997063137065
1702,greedy,14,49,0.06934245520238251,0.0754997063137065
1702,greedy,15,103,0.06797177341176222,0.0754997063137065
1702,greedy,16,12,0.06804894637186483,0.0754997063137065
1702,greedy,17,57,0.06659109665339907,0.0754997063137065
1702,greedy,18,55,0.07364197236198822,0.0754997063137065
1702,greedy,19,53,0.07220805775434387,0.0754997063137065
1702,greedy,20,115,0.07588372290627907,0.07588372290627907
1702,greedy,21,72,0.0720282503965603,0.07588372290627907
1702,greedy,22,56,0.07451183131674669,0.07588372290627907
1702,greedy,23,88,0.0718655102120033,0.07588372290627907
1702,greedy,24,69,0.07640696806040978,0.07640696806040978
1702,greedy,25,91,0.07165529548066128,0.07640696806040978
1702,greedy,26,48,0.07189818592173462,0.07640696806040978
1702,greedy,27,114,0.06598320646827754,0.07640696806040978
1702,greedy,28,79,0.06834010945531564,0.07640696806040978
1702,greedy,29,61,0.06777353795348476,0.07640696806040978
1702,greedy,30,86,0.07428339715451884,0.07640696806040978
1702,greedy,31,6,0.06406121607983985,0.07640696806040978
1702,greedy,32,14,0.07112952506608496,0.07640696806040978
1702,bads,1,0,0.06697040022823482,0.06697040022823482
1702,bads,2,46,0.057045806364988065,0.06697040022823482
1702,bads,3,75,0.06594637266196691,0.06697040022823482
1702,bads,4,24,0.05758230103246888,0.06697040022823482
1702,bads,5,89,0.07141041582618107,0.07141041582618107
1702,bads,6,99,0.07461729705025409,0.07461729705025409
1702,bads,7,31,0.0713309333154603,0.07461729705025409
1702,bads,8,108,0.06930427065716996,0.07461729705025409
1702,bads,9,52,0.055175464620493296,0.07461729705025409
1702,bads,10,32,0.07435547567342111,0.07461729705025409
1702,bads,11,50,0.06582777916858282,0.07461729705025409
1702,bads,12,25,0.07129209082016844,0.07461729705025409
1702,bads,13,43,0.07423075335850507,0.07461729705025409
1702,bads,14,13,0.057596081349645965,0.07461729705025409
1702,bads,15,42,0.0754997063137065,0.0754997063137065
1702,bads,16,56,0.07451183131674669,0.0754997063137065
1702,bads,17,18,0.07188544744107328,0.0754997063137065
1702,bads,18,78,0.07612027074972745,0.07612027074972745
1702,bads,19,69,0.07640696806040978,0.07640696806040978
1702,bads,20,10,0.06723015461128656,0.07640696806040978
1702,bads,21,115,0.07588372290627907,0.07640696806040978
1702,bads,22,11,0.07010906101494409,0.07640696806040978
1702,bads,23,86,0.07428339715451884,0.07640696806040978
1702,bads,24,72,0.0720282503965603,0.07640696806040978
1702,bads,25,63,0.06770090167427989,0.07640696806040978
1702,bads,26,29,0.07516863244431397,0.07640696806040978
1702,bads,27,82,0.07497873932187464,0.07640696806040978
1702,bads,28,21,0.07159377668297473,0.07640696806040978
1702,bads,29,76,0.06704782071389732,0.07640696806040978
1702,bads,30,109,0.07533251314140328,0.07640696806040978
1702,bads,31,107,0.07357906712132224,0.07640696806040978
1702,bads,32,8,0.07286835213031981,0.07640696806040978
1703,catalog,1,0,0.07134946368132324,0.07134946368132324
1703,random,1,0,0.07134946368132324,0.07134946368132324
1703,random,2,90,0.07007572068780255,0.07134946368132324
1703,random,3,89,0.07596157820672328,0.07596157820672328
1703,random,4,112,0.07707536965531553,0.07707536965531553
1703,random,5,50,0.07533442433531981,0.07707536965531553
1703,random,6,2,0.06628822210920313,0.07707536965531553
1703,random,7,64,0.06329963378798503,0.07707536965531553
1703,random,8,49,0.06579369585297118,0.07707536965531553
1703,random,9,19,0.07764281522110611,0.07764281522110611
1703,random,10,85,0.05925290555343357,0.07764281522110611
1703,random,11,70,0.06141996836521629,0.07764281522110611
1703,random,12,4,0.058858809725586256,0.07764281522110611
1703,random,13,25,0.07738970228048103,0.07764281522110611
1703,random,14,65,0.07458505593603501,0.07764281522110611
1703,random,15,44,0.07627969009613417,0.07764281522110611
1703,random,16,46,0.06749632436838654,0.07764281522110611
1703,random,17,9,0.07493860895834588,0.07764281522110611
1703,random,18,110,0.07803748307725923,0.07803748307725923
1703,random,19,111,0.07290072090096468,0.07803748307725923
1703,random,20,41,0.0734165356726108,0.07803748307725923
1703,random,21,6,0.07462962084488825,0.07803748307725923
1703,random,22,95,0.06601729205824794,0.07803748307725923
1703,random,23,105,0.07256993671987504,0.07803748307725923
1703,random,24,56,0.07887415017891825,0.07887415017891825
1703,random,25,54,0.07129507356055709,0.07887415017891825
1703,random,26,59,0.06960176805772982,0.07887415017891825
1703,random,27,75,0.06699084696994502,0.07887415017891825
1703,random,28,5,0.06664734007502987,0.07887415017891825
1703,random,29,60,0.06657931618956871,0.07887415017891825
1703,random,30,69,0.07531571971878705,0.07887415017891825
1703,random,31,39,0.07851846147294178,0.07887415017891825
1703,random,32,86,0.0665811857088076,0.07887415017891825
1703,greedy,1,0,0.07134946368132324,0.07134946368132324
1703,greedy,2,90,0.07007572068780255,0.07134946368132324
1703,greedy,3,89,0.07596157820672328,0.07596157820672328
1703,greedy,4,112,0.07707536965531553,0.07707536965531553
1703,greedy,5,47,0.07111718249241494,0.07707536965531553
1703,greedy,6,33,0.07664494629033301,0.07707536965531553
1703,greedy,7,50,0.07533442433531981,0.07707536965531553
1703,greedy,8,67,0.07783559733102247,0.07783559733102247
1703,greedy,9,44,0.07627969009613417,0.07783559733102247
1703,greedy,10,72,0.07150118253218478,0.07783559733102247
1703,greedy,11,118,0.07168670827214549,0.07783559733102247
1703,greedy,12,111,0.07290072090096468,0.07783559733102247
1703,greedy,13,69,0.07531571971878705,0.07783559733102247
1703,greedy,14,3,0.07634234023302539,0.07783559733102247
1703,greedy,15,84,0.06771781314386488,0.07783559733102247
1703,greedy,16,10,0.0715840508879263,0.07783559733102247
1703,greedy,17,18,0.07353514418521631,0.07783559733102247
