policy,reference,n_paired_seeds,wins,ties,mean_difference_heldout_usable_success_q25,sd_paired_difference,normal_approx_ci95_low,normal_approx_ci95_high,mean_relative_improvement,mean_difference_conditional_truth_fidelity,inference_label
random,catalog,8,8,0,0.006428755512202355,0.0005491863739367633,0.0060481887712393375,0.006809322253165372,0.1184109643784576,-0.00043990491365106243,descriptive_pilot_not_confirmatory
greedy,catalog,8,8,0,0.006891865890584519,0.0008085545598403222,0.006331566166606571,0.007452165614562467,0.12724349614200248,0.005069271445296786,descriptive_pilot_not_confirmatory
bads,catalog,8,8,0,0.006994472900866097,0.0005691537180822905,0.006600069496344443,0.007388876305387751,0.12906943516342706,0.0038201967895859362,descriptive_pilot_not_confirmatory
greedy,random,8,4,3,0.0004631103783821642,0.0008416938525700932,-0.00012015370383647197,0.0010463744606008004,0.007913305801368255,0.005509176358947848,descriptive_pilot_not_confirmatory
bads,random,8,4,4,0.0005657173886637421,0.0007011027591525121,7.987796366450882e-05,0.0010515568136629755,0.009564492243906125,0.004260101703236999,descriptive_pilot_not_confirmatory
bads,greedy,8,1,7,0.00010260701028157789,0.0002902164510695261,-9.850272987031475e-05,0.00030371675043347056,0.0016732897493260685,-0.0012490746557108495,descriptive_pilot_not_confirmatory
